역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
313,백석역,k0305,일산선,Baekseok,白 石,일반역,,,37.642973,126.788109,한국철도공사,경기도 고양시 일산동구 중앙로 1042,1544-7788,2020-12-31
312,마두역,k0305,일산선,Madu,馬 頭,일반역,,,37.652185,126.777641,한국철도공사,경기도 고양시 일산동구 중앙로 지하 1180(마두동),1544-7788,2020-12-31
311,정발산역,k0305,일산선,Jeongbalsan,鼎鉢山,일반역,,,37.659709,126.773254,한국철도공사,경기도 고양시 일산동구 마두 1동 1123(일산동구 중앙로 1270),1544-7788,2020-12-31
310,주엽역,k0305,일산선,Juyeop,注 葉,일반역,,,37.670138,126.761232,한국철도공사,경기도 고양시 일산서구 중앙로 1432(주엽동 166-7),1544-7788,2020-12-31
309,대화역,k0305,일산선,Daehwa,大 化,일반역,,,37.675883,126.747756,한국철도공사,경기도 고양시 일산서구 중앙로 1569(대화동 2221),1544-7788,2020-12-31
111,이촌역,k0205,경의중앙선,Ichon,二 村,환승역,,경의중앙/4,37.522476,126.973816,한국철도공사,서울시 용산구 이촌로 71길 42,1544-7788,2020-12-31
112,서빙고역,k0203,경의중앙선,Seobinggo,西氷庫,일반역,,,37.51961,126.988358,한국철도공사,서울시 용산구 서빙고로 238(서빙고동 241-11),1544-7788,2020-12-31
113,한남역,k0205,경의중앙선,Hannam,漢 南,일반역,,,37.529361,127.008984,한국철도공사,서울시 용산구 독서당로6길 12-13(한남동),1544-7788,2020-12-31
136,노량진역,k0201,경부선,Noryangjin,鷺梁津,환승역,,경부/9,37.514072,126.941671,한국철도공사,서울시 동작구 노량진로 151,1544-7788,2020-12-31
137,대방역,k0201,경부선,Daebang,大 方,일반역,,,37.513392,126.926407,한국철도공사,서울시 영등포구 여의대방로 300,1544-7788,2020-12-31
138,신길역,k0201,경부선,Singil,新 吉,환승역,,경부/5,37.517018,126.917743,한국철도공사,서울시 영등포구 영등포로 327,1544-7788,2020-12-31
139,영등포역,k0201,경부선,Yeongdeungpo,永登浦,일반역,,,37.515756,126.907411,한국철도공사,서울시 영등포구 경인로 846(영등포동 1가 618-496),1544-7788,2020-12-31
140,신도림역,k0201,경부선,Sindorim,新道林,환승역,,경부/2,37.508983,126.891513,한국철도공사,서울시 구로구 새말로 117-21,1544-7788,2020-12-31
141,구로역,k0201,경부선,Guro,九 老,환승역,k0201+k0301,경부/경인,37.503178,126.882037,한국철도공사,서울시 구로구 구로중앙로 174,1544-7788,2020-12-31
142,가산디지털단지역,k0201,경부선,Gasan Digital Complex,加山디지털團 地,환승역,,경부/7,37.481568,126.882628,한국철도공사,서울시 금천구 벚꽃로 309,1544-7788,2020-12-31
143,독산역,k0201,경부선,Doksan,禿 山,일반역,,,37.465994,126.889508,한국철도공사,서울시 금천구 벚꽃로 115,1544-7788,2020-12-31
144,금천구청역,k0201,경부선,Geumcheon-Gu Office,衿川區廳,환승역,k0201+k2012,경부/광명셔틀,37.45576,126.894344,한국철도공사,서울시 금천구 시흥대로 63길 91,1544-7788,2020-12-31
149,금정역,k0201,경부선,Geumjeong,衿 井,환승역,,경부/4,37.371957,126.943611,한국철도공사,경기도 군포시 군포로 750,1544-7788,2020-12-31
150,군포역,k0201,경부선,Gunpo,軍 浦,일반역,,,37.353732,126.948517,한국철도공사,경기도 군포시 군포역1길 27,1544-7788,2020-12-31
151,당정역,k0201,경부선,Dangjeong,當井,일반역,,,37.34338,126.948388,한국철도공사,경기도 군포시 당정역로 91,1544-7788,2020-12-31
152,의왕역,k0201,경부선,Uiwang,義 王,일반역,,,37.320648,126.948099,한국철도공사,경기도 의왕시 철도박물관로 66(삼동),1544-7788,2020-12-31
